RoomNumber,Floor,Wing,RoomType
419,4,A,Standard
420,4,A,Standard
421,4,A,Standard
422,4,A,Standard
423,4,A,Standard
424,4,A,Standard
425,4,A,Standard
426,4,A,Standard
427,4,A,Standard
428,4,A,Standard
429,4,A,Standard
430,4,A,Standard
431,4,A,Standard
432,4,A,Standard
433,4,A,Corner
434,4,A,Corner
435,4,A,Corner
436,4,A,Corner
437,4,A,SuperiorCorner
438,4,A,SuperiorCorner
439,4,A,SuperiorCorner
440,4,A,CornerPremium
451,4,B,Apartment
452,4,B,Apartment
453,4,B,Apartment
454,4,B,Apartment
455,4,B,Apartment
456,4,B,Apartment
457,4,B,Apartment
458,4,B,Apartment
459,4,B,Apartment
460,4,B,Apartment
461,4,B,Apartment
462,4,B,Apartment
463,4,B,SuperiorApartmentBalcony
464,4,B,SuperiorApartmentBalcony
465,4,B,SuperiorApartmentBalcony
466,4,B,SuperiorApartmentBalcony
467,4,B,SuperiorApartmentBalcony
468,4,B,TwoRoomApartment
469,4,B,TwoRoomApartment
470,4,B,TwoRoomApartment
501,5,A,Standard
502,5,A,Standard
503,5,A,Standard
504,5,A,Standard
505,5,A,Standard
506,5,A,Standard
507,5,A,Standard
508,5,A,Standard
509,5,A,Standard
510,5,A,Standard
511,5,A,Standard
512,5,A,Standard
513,5,A,Standard
514,5,A,Standard
515,5,A,Standard
516,5,A,Standard
517,5,A,Standard
518,5,A,Standard
519,5,A,Standard
520,5,A,Standard
521,5,A,Standard
522,5,A,Standard
523,5,A,Standard
524,5,A,Standard
525,5,A,Standard
526,5,A,Standard
527,5,A,Standard
528,5,A,Standard
529,5,A,Standard
530,5,A,Standard
531,5,A,Standard
532,5,A,Standard
533,5,A,Corner
534,5,A,Corner
535,5,A,Corner
536,5,A,Corner
537,5,A,SuperiorCorner
538,5,A,SuperiorCorner
539,5,A,SuperiorCorner
540,5,A,CornerPremium
551,5,B,Apartment
552,5,B,Apartment
553,5,B,Apartment
554,5,B,Apartment
555,5,B,Apartment
556,5,B,Apartment
557,5,B,Apartment
558,5,B,Apartment
559,5,B,Apartment
560,5,B,Apartment
561,5,B,Apartment
562,5,B,Apartment
563,5,B,SuperiorApartmentBalcony
564,5,B,SuperiorApartmentBalcony
565,5,B,SuperiorApartmentBalcony
566,5,B,SuperiorApartmentBalcony
567,5,B,SuperiorApartmentBalcony
568,5,B,TwoRoomApartment
569,5,B,TwoRoomApartment
570,5,B,TwoRoomApartment
601,6,A,Standard
602,6,A,Standard
603,6,A,Standard
604,6,A,Standard
605,6,A,Standard
606,6,A,Standard
607,6,A,Standard
608,6,A,Standard
609,6,A,Standard
610,6,A,Standard
611,6,A,Standard
612,6,A,Standard
613,6,A,Standard
614,6,A,Standard
615,6,A,Standard
616,6,A,Standard
617,6,A,Standard
618,6,A,Standard
619,6,A,Standard
620,6,A,Standard
621,6,A,Standard
622,6,A,Standard
623,6,A,Standard
624,6,A,Standard
625,6,A,Standard
626,6,A,Standard
627,6,A,Standard
628,6,A,Standard
629,6,A,Standard
630,6,A,Standard
631,6,A,Standard
632,6,A,Standard
633,6,A,Corner
634,6,A,Corner
635,6,A,Corner
636,6,A,Corner
637,6,A,SuperiorCorner
638,6,A,SuperiorCorner
639,6,A,SuperiorCorner
640,6,A,CornerPremium
651,6,B,Apartment
652,6,B,Apartment
653,6,B,Apartment
654,6,B,Apartment
655,6,B,Apartment
656,6,B,Apartment
657,6,B,Apartment
658,6,B,Apartment
659,6,B,Apartment
660,6,B,Apartment
661,6,B,Apartment
662,6,B,Apartment
663,6,B,SuperiorApartmentBalcony
664,6,B,SuperiorApartmentBalcony
665,6,B,SuperiorApartmentBalcony
666,6,B,SuperiorApartmentBalcony
667,6,B,SuperiorApartmentBalcony
668,6,B,TwoRoomApartment
669,6,B,TwoRoomApartment
670,6,B,TwoRoomApartment
